station_id,connector_id,timestamp,status
STAT-03,1,2025-04-10T18:08:36.113551+00:00,Available
STAT-02,1,2025-04-10T18:31:13.241593+00:00,Available
STAT-01,2,2025-04-10T20:01:32.190005+00:00,Available
STAT-03,2,2025-04-10T20:02:03.878351+00:00,Charging
STAT-01,2,2025-04-10T20:19:13.678980+00:00,Charging
STAT-03,2,2025-04-10T21:00:06.060169+00:00,Available
STAT-01,1,2025-04-10T21:05:34.320878+00:00,Charging
STAT-01,2,2025-04-10T21:44:20.769889+00:00,Available
STAT-03,2,2025-04-10T22:01:05.623232+00:00,Charging
STAT-01,2,2025-04-10T22:10:49.299224+00:00,Charging
STAT-02,1,2025-04-10T22:34:49.183070+00:00,Charging
STAT-01,2,2025-04-11T00:17:22.026497+00:00,Available
STAT-03,2,2025-04-11T00:57:55.805050+00:00,Available
STAT-02,1,2025-04-11T01:29:18.637615+00:00,Available
STAT-01,1,2025-04-11T02:30:16.866333+00:00,Available
STAT-03,2,2025-04-11T10:37:54.759535+00:00,Charging
STAT-03,2,2025-04-11T15:14:27.486808+00:00,Available
STAT-03,1,2025-04-11T20:00:00+00:00,Unavailable
